epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,19503.8,0.69777,0.95986,0.60866,0.9557,0.63239,0.6576,0.65087,0.48498,0.64817,0.66143,0.65789,0.46203,0.81084,1.20766,0.72376,0.99406,0.000698541,0.000698541,0.000698541
77,19760.4,0.68773,0.96196,0.6205,0.94072,0.60327,0.71889,0.67827,0.50809,0.63272,0.68686,0.6762,0.47056,0.81523,1.23644,0.69415,1.00343,0.000693042,0.000693042,0.000693042
78,20017,0.68173,0.9524,0.58392,0.94108,0.61884,0.75588,0.71071,0.5247,0.6226,0.75606,0.7093,0.49505,0.80085,1.16704,0.68348,0.99383,0.000687542,0.000687542,0.000687542
79,20273.4,0.68891,0.95706,0.58342,0.95063,0.75572,0.65554,0.71761,0.53905,0.64695,0.72615,0.71292,0.50215,0.81028,1.1708,0.70012,0.99068,0.000682043,0.000682043,0.000682043
80,20529.9,0.69475,0.95768,0.58322,0.94404,0.6457,0.64881,0.6885,0.51212,0.65163,0.66271,0.69159,0.48631,0.81794,1.15915,0.68257,1.00563,0.000676543,0.000676543,0.000676543
81,20786,0.67774,0.95299,0.55858,0.93575,0.64586,0.74342,0.71977,0.54938,0.64933,0.75507,0.72917,0.52183,0.82337,1.14605,0.67563,0.99957,0.000671044,0.000671044,0.000671044
82,21042.7,0.67483,0.94378,0.57528,0.94298,0.7112,0.71331,0.72287,0.54881,0.71423,0.71709,0.72555,0.52035,0.78842,1.13238,0.65547,0.99415,0.000665545,0.000665545,0.000665545
83,21298.5,0.68103,0.97316,0.58251,0.94627,0.66691,0.69116,0.70149,0.52956,0.66868,0.70019,0.70425,0.49885,0.82386,1.22102,0.71484,0.99791,0.000660045,0.000660045,0.000660045
84,21553.9,0.67518,0.93027,0.53542,0.94091,0.63487,0.72486,0.70196,0.53606,0.64108,0.74007,0.71045,0.50804,0.80372,1.20069,0.66106,0.99808,0.000654546,0.000654546,0.000654546
85,21809.7,0.6695,0.95186,0.56618,0.93943,0.7165,0.66158,0.70592,0.53937,0.65728,0.74259,0.7147,0.51562,0.78119,1.1195,0.65853,0.98817,0.000649046,0.000649046,0.000649046
86,22065.6,0.65904,0.90742,0.56026,0.9239,0.68795,0.65539,0.69927,0.52901,0.68938,0.65737,0.69932,0.50108,0.80532,1.1663,0.6747,0.99962,0.000643547,0.000643547,0.000643547
87,22321.3,0.66303,0.92919,0.56119,0.93966,0.6395,0.71129,0.71618,0.54371,0.64735,0.71887,0.72265,0.51261,0.79864,1.16746,0.65407,1.00049,0.000638047,0.000638047,0.000638047
88,22577.1,0.6524,0.91633,0.55963,0.93099,0.64353,0.67975,0.69028,0.52413,0.65385,0.69172,0.69754,0.49292,0.79011,1.15803,0.68298,0.97913,0.000632548,0.000632548,0.000632548
89,22833.1,0.65849,0.9192,0.56866,0.93046,0.65302,0.6872,0.67067,0.50864,0.6539,0.69113,0.67349,0.48673,0.79841,1.17333,0.74437,0.97969,0.000627048,0.000627048,0.000627048
90,23089,0.65226,0.91068,0.55107,0.93312,0.69705,0.69296,0.69654,0.52934,0.70205,0.69921,0.70338,0.50528,0.785,1.19347,0.64587,0.98899,0.000621549,0.000621549,0.000621549
