epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,11066.3,0.55099,0.71708,0.3802,0.89836,0.71037,0.68234,0.7148,0.53762,0.65033,0.7492,0.71226,0.49287,0.7491,1.14709,0.66789,1.06881,0.000495062,0.000495062,0.000495062
114,11164,0.53656,0.71191,0.35868,0.88415,0.66272,0.7346,0.73072,0.55439,0.65955,0.73987,0.73795,0.50928,0.76274,1.13519,0.67514,1.07211,0.000489562,0.000489562,0.000489562
115,11261.7,0.53712,0.69572,0.35785,0.88315,0.69408,0.68703,0.71185,0.54296,0.69925,0.6917,0.71908,0.50033,0.74967,1.19019,0.716,1.08538,0.000484063,0.000484063,0.000484063
116,11359.2,0.54762,0.72534,0.37237,0.88748,0.70883,0.66788,0.72526,0.54498,0.71759,0.67503,0.73569,0.50671,0.76996,1.16425,0.70913,1.09036,0.000478563,0.000478563,0.000478563
117,11456.9,0.52886,0.71982,0.35115,0.87626,0.68251,0.73851,0.72434,0.55425,0.68022,0.73299,0.73104,0.50696,0.7618,1.17933,0.69742,1.07418,0.000473064,0.000473064,0.000473064
118,11554.4,0.53441,0.70958,0.35144,0.88228,0.77136,0.67392,0.72879,0.54962,0.77687,0.67658,0.7318,0.50314,0.75675,1.14857,0.69771,1.07717,0.000467564,0.000467564,0.000467564
119,11651.8,0.53605,0.71019,0.35334,0.88648,0.74977,0.67362,0.72273,0.54817,0.7481,0.67472,0.72207,0.49774,0.75825,1.16006,0.69109,1.07506,0.000462065,0.000462065,0.000462065
120,11749.5,0.52726,0.68956,0.35423,0.87824,0.71589,0.69476,0.73293,0.54835,0.72707,0.69585,0.7365,0.50956,0.76,1.16744,0.70152,1.08304,0.000456565,0.000456565,0.000456565
121,11846.9,0.52349,0.69036,0.34843,0.8829,0.7418,0.6811,0.71993,0.53922,0.74062,0.6865,0.71863,0.49566,0.75653,1.15633,0.7048,1.07573,0.000451066,0.000451066,0.000451066
122,11944.9,0.52116,0.68764,0.33511,0.87363,0.73139,0.69244,0.7341,0.55437,0.72532,0.70075,0.73184,0.50354,0.75138,1.11963,0.70139,1.07244,0.000445567,0.000445567,0.000445567
123,12042.3,0.51929,0.69488,0.34602,0.88361,0.77059,0.65786,0.74468,0.56651,0.76789,0.66865,0.74547,0.51155,0.74537,1.16403,0.69672,1.0633,0.000440067,0.000440067,0.000440067
